country,year,month,vaccine_type,doses_administered,population,vaccination_rate
United Kingdom,2020,12,COVID-19,1000000,67000000,0.0149
United Kingdom,2021,1,COVID-19,3500000,67000000,0.0522
United Kingdom,2021,2,COVID-19,7000000,67000000,0.1045
United Kingdom,2021,3,COVID-19,12000000,67000000,0.1791
United States,2020,12,COVID-19,2800000,331000000,0.0085
United States,2021,1,COVID-19,12000000,331000000,0.0363
United States,2021,2,COVID-19,25000000,331000000,0.0755
United States,2021,3,COVID-19,45000000,331000000,0.1359
France,2020,12,COVID-19,500000,67000000,0.0075
France,2021,1,COVID-19,1800000,67000000,0.0269
France,2021,2,COVID-19,3500000,67000000,0.0522
France,2021,3,COVID-19,6000000,67000000,0.0896
Germany,2020,12,COVID-19,800000,83000000,0.0096
Germany,2021,1,COVID-19,2500000,83000000,0.0301
Germany,2021,2,COVID-19,5000000,83000000,0.0602
Germany,2021,3,COVID-19,9000000,83000000,0.1084
Canada,2020,12,COVID-19,400000,38000000,0.0105
Canada,2021,1,COVID-19,1200000,38000000,0.0316
Canada,2021,2,COVID-19,2500000,38000000,0.0658
Canada,2021,3,COVID-19,4500000,38000000,0.1184

